Toto si traktor cerdas;Pusat Perpustakaan dan Penyebaran Teknologi Pertanian;NULL;NULL;NULL;application/pdf;NULL;ISBN 978 9798191 824;3247.71;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/download2/1164/6506
Aneka olahan sukun;Pusat Perpustakaan dan Penyebaran Teknologi Pertanian;NULL;NULL;NULL;;NULL;ISBN 978 9798191 817;;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/aneka-olahan-sukun
Aku dan bumiku : hijau bumiku;Pusat Perpustakaan dan Penyebaran Teknologi Pertanian;NULL;NULL;NULL;application/pdf;NULL;978 9798191 718;4477.25;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/aku-dan-bumiku-hijau-bumiku
Aku dan bumiku : hanyutnya sekolah kami;Pusat Perpustakaan dan Penyebaran Teknologi Pertanian;NULL;NULL;NULL;application/pdf;NULL;978 9798191 725;4669.24;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/aku-dan-bumiku-hanyutnya-sekolah-kami
Aku dan bumiku : banjir dan longsor;Pusat Perpustakaan dan Penyebaran Teknologi Pertanian;NULL;NULL;NULL;application/pdf;NULL;ISBN 978 9798191 718;213.28;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/aku-dan-bumiku-banjir-dan-longsor
Model pengembangan kawasan rumah pangan lestari;Sumarmiyati;NULL;NULL;NULL;application/pdf;NULL;;647.9;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/model-pengembangan-kawasan-rumah-pangan-lestari
Pengelolaan Laboratorium Diseminasi lingkup Badan Penelitian dan Pengembangan Pertanian;;NULL;NULL;NULL;;NULL;90;;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/pengelolaan-laboratorium-diseminasi-lingkup-badan-penelitian-dan-pengembangan-pertanian
Teh Organik;Nana Sutrisna;NULL;NULL;NULL;;NULL;978-979-3595-31-3;;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/teh-organik
Petunjuk Teknis Edisi 2: Analisis Kimia Tanah, Tanaman, Air, dan Pupuk;Nana Sutrisna;NULL;NULL;NULL;application/pdf;NULL;978-979-3595-31-3;738.37;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/petunjuk-teknis-edisi-2-analisis-kimia-tanah-tanaman-air-dan-pupuk
Petunjuk Teknis Pendampingan Teknologi SL-PTT Padi;Nana Sutrisna;NULL;NULL;NULL;application/pdf;NULL;978-979-3595-31-3;212.03;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/petunjuk-teknis-pendampingan-teknologi-sl-ptt-padi
